Entity,Code,Year,Prevalence of current tobacco use (% of adults),Population
Seychelles,SYC,2010,24.0,94993
Sierra Leone,SLE,2010,24.3,6222715
Singapore,SGP,2010,16.5,5077019
Slovakia,SVK,2010,31.6,5391857
Slovenia,SVN,2010,23.5,2044612
Solomon Islands,SLB,2010,39.6,532977
South Africa,ZAF,2010,21.6,52344045
South Korea,KOR,2010,27.0,48769330
Spain,ESP,2010,31.9,46840470
Sri Lanka,LKA,2010,24.8,20879090
Sweden,SWE,2010,32.3,9378234
Switzerland,CHE,2010,26.9,7825751
Tanzania,TZA,2010,15.5,44758489
Thailand,THA,2010,26.3,68579442
Togo,TGO,2010,9.8,6732595
Tonga,TON,2010,32.1,107415
Tunisia,TUN,2010,29.0,10765982
Turkey,TUR,2010,31.7,73346766
Turkmenistan,TKM,2010,8.2,5564355
Tuvalu,TUV,2010,41.8,10635
Uganda,UGA,2010,14.3,32390800
Ukraine,UKR,2010,31.1,46456002
United Kingdom,GBR,2010,24.1,63006484
United States,USA,2010,28.0,311062786
Upper-middle-income countries,,2010,25.931273,2587239946
Uruguay,URY,2010,27.5,3318582
Uzbekistan,UZB,2010,20.9,28385508
Vanuatu,VUT,2010,21.3,238257
Vietnam,VNM,2010,27.0,87455150
Yemen,YEM,2010,23.4,26754384
Zambia,ZMB,2010,16.7,13965592
Zimbabwe,ZWE,2010,15.6,13356552
