Entity,Code,Year,Prevalence of current tobacco use (% of adults),Population
Botswana,BWA,2010,24.8,2033110
Botswana,BWA,2015,21.7,2203276
Botswana,BWA,2018,19.8,2299148
Botswana,BWA,2019,19.8,2332081
Botswana,BWA,2020,19.4,2365895
Brazil,BRA,2000,23.8,174018276
Brazil,BRA,2005,20.4,184688101
Brazil,BRA,2010,17.4,193701931
Brazil,BRA,2015,14.9,201675534
Brazil,BRA,2018,13.2,206107265
Brazil,BRA,2019,13.2,207455459
Brazil,BRA,2020,12.8,208660845
Brunei,BRN,2000,16.7,326428
Brunei,BRN,2005,16.5,358930
Brunei,BRN,2010,16.4,392340
Brunei,BRN,2015,16.3,422224
Brunei,BRN,2018,16.2,437813
Brunei,BRN,2019,16.2,442687
Brunei,BRN,2020,16.2,447412
Bulgaria,BGR,2000,47.5,8000519
Bulgaria,BGR,2005,45.0,7695047
Bulgaria,BGR,2010,42.9,7437594
Bulgaria,BGR,2015,40.7,7177516
Bulgaria,BGR,2018,39.4,7024746
Bulgaria,BGR,2019,39.4,6975467
Bulgaria,BGR,2020,39.0,6933654
Burkina Faso,BFA,2000,29.8,11925548
Burkina Faso,BFA,2005,24.7,13932127
Burkina Faso,BFA,2010,20.5,16176504
Burkina Faso,BFA,2015,17.0,18777488
Burkina Faso,BFA,2018,14.9,20438288
Burkina Faso,BFA,2019,14.9,20961954
Burkina Faso,BFA,2020,14.3,21478692
Burundi,BDI,2000,24.0,6470196
Burundi,BDI,2005,19.8,7587304
Burundi,BDI,2010,16.6,9376447
Burundi,BDI,2015,13.9,11047580
Burundi,BDI,2018,12.2,11859444
Burundi,BDI,2019,12.2,12255339
Burundi,BDI,2020,11.8,12617042
Cambodia,KHM,2000,42.3,12462343
Cambodia,KHM,2005,36.0,13439204
Cambodia,KHM,2010,30.1,14500732
Cambodia,KHM,2015,25.2,15623253
Cambodia,KHM,2018,21.9,16274521
Cambodia,KHM,2019,21.9,16481304
Cambodia,KHM,2020,21.1,16725482
Cameroon,CMR,2000,12.8,14912633
Cameroon,CMR,2005,11.2,17074598
Cameroon,CMR,2010,9.7,19668064
Cameroon,CMR,2015,8.4,22763419
Cameroon,CMR,2018,7.5,24806379
Cameroon,CMR,2019,7.5,25506096
Cameroon,CMR,2020,7.3,26210566
Canada,CAN,2000,28.4,30891800
Canada,CAN,2005,23.3,32440173
Canada,CAN,2010,19.3,34196901
Canada,CAN,2015,15.8,35962236
Canada,CAN,2018,13.6,37294997
Canada,CAN,2019,13.6,37782931
Canada,CAN,2020,13.0,38171901
Cape Verde,CPV,2000,20.6,453334
Cape Verde,CPV,2005,17.8,485127
Cape Verde,CPV,2010,15.2,509794
Cape Verde,CPV,2015,13.1,512405
Cape Verde,CPV,2018,11.7,513417
Cape Verde,CPV,2019,11.7,514116
Cape Verde,CPV,2020,11.4,514684
Chad,TCD,2000,13.9,8512092
Chad,TCD,2005,12.2,10328095
Chad,TCD,2010,10.7,12312582
Chad,TCD,2015,9.4,14647625
Chad,TCD,2018,8.5,16156535
Chad,TCD,2019,8.5,16685223
Chad,TCD,2020,8.3,17224685
Chile,CHL,2000,46.9,15503637
Chile,CHL,2005,41.7,16348781
Chile,CHL,2010,37.1,17181462
Chile,CHL,2015,32.9,18047628
Chile,CHL,2018,29.9,18893186
Chile,CHL,2019,29.9,19197747
Chile,CHL,2020,29.2,19370619
China,CHN,2000,26.7,1269581164
China,CHN,2005,26.6,1310027138
China,CHN,2010,26.2,1351561511
China,CHN,2015,25.9,1396134164
China,CHN,2018,25.7,1419008963
China,CHN,2019,25.7,1423520354
China,CHN,2020,25.6,1426106083
Colombia,COL,2000,15.1,39089939
Colombia,COL,2005,13.2,42128977
Colombia,COL,2010,11.4,44777325
Colombia,COL,2015,9.9,46969937
Colombia,COL,2018,8.8,49024463
Colombia,COL,2019,8.8,49907987
Colombia,COL,2020,8.5,50629997
Comoros,COM,2000,39.5,536084
Comoros,COM,2005,32.8,592677
Comoros,COM,2010,27.7,654845
Comoros,COM,2015,23.5,726685
Comoros,COM,2018,20.8,771596
Comoros,COM,2019,20.8,786583
Comoros,COM,2020,20.3,802172
Congo,COG,2000,11.9,3151349
Congo,COG,2005,12.2,3696399
Congo,COG,2010,12.8,4462303
Congo,COG,2015,13.5,5097583
Congo,COG,2018,14.3,5483129
Congo,COG,2019,14.3,5616656
Congo,COG,2020,14.5,5752791
Costa Rica,CRI,2000,18.0,3937737
Costa Rica,CRI,2005,15.0,4261240
Costa Rica,CRI,2010,12.6,4555965
Costa Rica,CRI,2015,10.5,4818044
Costa Rica,CRI,2018,9.1,4957814
Costa Rica,CRI,2019,9.1,4999551
Costa Rica,CRI,2020,8.8,5034323
Cote d'Ivoire,CIV,2000,18.7,17699006
Cote d'Ivoire,CIV,2005,15.8,20068468
Cote d'Ivoire,CIV,2010,13.2,22488068
Cote d'Ivoire,CIV,2015,11.1,25246346
Cote d'Ivoire,CIV,2018,9.7,27464175
Cote d'Ivoire,CIV,2019,9.7,28193014
Cote d'Ivoire,CIV,2020,9.4,28915452
Croatia,HRV,2000,34.4,4326105
Croatia,HRV,2005,34.9,4313946
Croatia,HRV,2010,35.4,4301152
Croatia,HRV,2015,36.1,4183732
Croatia,HRV,2018,36.7,4024868
Croatia,HRV,2019,36.7,3986338
Croatia,HRV,2020,36.9,3953957
Cuba,CUB,2000,40.8,11109111
Cuba,CUB,2005,33.2,11262552
Cuba,CUB,2010,27.0,11297413
Cuba,CUB,2015,22.0,11275068
Cuba,CUB,2018,18.7,11227118
Cuba,CUB,2019,18.7,11202847
Cuba,CUB,2020,17.9,11176349
Cyprus,CYP,2000,40.9,947667
Cyprus,CYP,2005,39.2,1036156
Cyprus,CYP,2010,37.7,1127825
Cyprus,CYP,2015,36.4,1219504
Cyprus,CYP,2018,35.5,1270743
Cyprus,CYP,2019,35.5,1286669
Cyprus,CYP,2020,35.1,1302250
Czechia,CZE,2000,34.2,10236809
Czechia,CZE,2005,33.4,10280158
Czechia,CZE,2010,32.3,10464035
Czechia,CZE,2015,31.4,10524419
Czechia,CZE,2018,30.9,10548935
Czechia,CZE,2019,30.9,10554871
Czechia,CZE,2020,30.7,10550130
Democratic Republic of Congo,COD,2000,18.8,50507444
Democratic Republic of Congo,COD,2005,16.9,58775726
Democratic Republic of Congo,COD,2010,15.4,68563037
Democratic Republic of Congo,COD,2015,14.0,81035535
Democratic Republic of Congo,COD,2018,13.0,90047647
Democratic Republic of Congo,COD,2019,13.0,92947450
Democratic Republic of Congo,COD,2020,12.8,95989999
Denmark,DNK,2000,37.3,5339660
Denmark,DNK,2005,30.8,5419551
Denmark,DNK,2010,25.5,5547866
Denmark,DNK,2015,21.1,5683698
Denmark,DNK,2018,18.1,5793825
Denmark,DNK,2019,18.1,5814619
Denmark,DNK,2020,17.5,5831530
Dominican Republic,DOM,2000,18.7,8584196
Dominican Republic,DOM,2005,16.1,9225036
Dominican Republic,DOM,2010,13.9,9820181
Dominican Republic,DOM,2015,12.2,10434826
Dominican Republic,DOM,2018,10.9,10782049
Dominican Republic,DOM,2019,10.9,10894043
Dominican Republic,DOM,2020,10.6,11008297
East Timor,TLS,2000,53.5,745095
East Timor,TLS,2005,49.5,948310
East Timor,TLS,2010,46.0,1084687
East Timor,TLS,2015,42.5,1205134
East Timor,TLS,2018,39.8,1275965
East Timor,TLS,2019,39.8,1300943
East Timor,TLS,2020,39.2,1326051
Ecuador,ECU,2000,18.4,12689214
Ecuador,ECU,2005,16.2,13846163
Ecuador,ECU,2010,14.5,15076695
Ecuador,ECU,2015,12.8,16266228
Ecuador,ECU,2018,11.6,17049542
Ecuador,ECU,2019,11.6,17340017
Ecuador,ECU,2020,11.3,17546058
Egypt,EGY,2000,24.3,73083287
Egypt,EGY,2005,24.1,81101013
Egypt,EGY,2010,24.3,89196070
Egypt,EGY,2015,24.3,99597333
Egypt,EGY,2018,24.4,105682093
Egypt,EGY,2019,24.4,107553159
Egypt,EGY,2020,24.3,109315119
El Salvador,SLV,2000,15.9,5943366
El Salvador,SLV,2005,13.4,6005583
El Salvador,SLV,2010,11.3,6068252
El Salvador,SLV,2015,9.5,6183674
El Salvador,SLV,2018,8.3,6219801
El Salvador,SLV,2019,8.3,6222316
El Salvador,SLV,2020,7.9,6234680
Eritrea,ERI,2000,13.3,2247036
Eritrea,ERI,2005,11.5,2661217
Eritrea,ERI,2010,10.0,2945185
Eritrea,ERI,2015,8.7,3105554
Eritrea,ERI,2018,7.7,3192763
Eritrea,ERI,2019,7.7,3240195
Eritrea,ERI,2020,7.5,3291277
Estonia,EST,2000,46.0,1397001
Estonia,EST,2005,41.6,1354847
Estonia,EST,2010,37.2,1331450
Estonia,EST,2015,33.3,1314581
Estonia,EST,2018,30.5,1321971
Estonia,EST,2019,30.5,1326821
Estonia,EST,2020,29.7,1329674
Eswatini,SWZ,2000,12.3,1041428
Eswatini,SWZ,2005,11.4,1079021
Eswatini,SWZ,2010,10.5,1111650
Eswatini,SWZ,2015,9.8,1142823
Eswatini,SWZ,2018,9.3,1168931
Eswatini,SWZ,2019,9.3,1179885
Eswatini,SWZ,2020,9.2,1192733
Ethiopia,ETH,2000,6.8,67411495
Ethiopia,ETH,2005,6.3,78367475
Ethiopia,ETH,2010,5.9,90538520
Ethiopia,ETH,2015,5.5,103867140
Ethiopia,ETH,2018,5.2,112664155
Ethiopia,ETH,2019,5.2,115737385
Ethiopia,ETH,2020,5.1,118917671
Fiji,FJI,2000,32.3,840913
Fiji,FJI,2005,29.7,882384
Fiji,FJI,2010,27.4,910426
Fiji,FJI,2015,25.1,918583
Fiji,FJI,2018,23.4,917184
Fiji,FJI,2019,23.4,914904
Fiji,FJI,2020,23.1,914970
Finland,FIN,2000,35.7,5176198
Finland,FIN,2005,31.4,5246083
Finland,FIN,2010,27.8,5363347
Finland,FIN,2015,24.5,5479718
Finland,FIN,2018,22.2,5515732
Finland,FIN,2019,22.2,5521755
Finland,FIN,2020,21.6,5529617
France,FRA,2000,34.2,59483716
France,FRA,2005,34.1,61625030
France,FRA,2010,33.8,63417366
France,FRA,2015,33.7,64916336
France,FRA,2018,33.6,65519539
France,FRA,2019,33.6,65729460
France,FRA,2020,33.4,65905273
Gambia,GMB,2000,22.5,1455095
Gambia,GMB,2005,18.8,1667036
Gambia,GMB,2010,15.8,1926635
Gambia,GMB,2015,13.3,2224532
Gambia,GMB,2018,11.6,2399634
Gambia,GMB,2019,11.6,2456847
Gambia,GMB,2020,11.1,2515744
Georgia,GEO,2000,32.8,4328363
Georgia,GEO,2005,32.6,4026135
Georgia,GEO,2010,32.2,3895933
Georgia,GEO,2015,32.0,3791571
Georgia,GEO,2018,31.7,3794881
Georgia,GEO,2019,31.7,3796721
Georgia,GEO,2020,31.7,3795680
Germany,DEU,2000,36.4,81797255
Germany,DEU,2005,32.1,82046731
Germany,DEU,2010,28.3,80830917
Germany,DEU,2015,24.9,82077546
Germany,DEU,2018,22.5,83368506
Germany,DEU,2019,22.5,83559185
Germany,DEU,2020,22.0,83628711
Ghana,GHA,2000,7.0,19637087
Ghana,GHA,2005,5.9,22449443
Ghana,GHA,2010,4.9,25475001
Ghana,GHA,2015,4.2,28696071
Ghana,GHA,2018,3.6,30637591
Ghana,GHA,2019,3.6,31258942
Ghana,GHA,2020,3.5,31887801
Greece,GRC,2000,54.9,10782638
Greece,GRC,2005,48.5,10981340
Greece,GRC,2010,42.9,11124665
Greece,GRC,2015,37.9,10820901
Greece,GRC,2018,34.5,10730845
Greece,GRC,2019,34.5,10718580
Greece,GRC,2020,33.5,10699370
Guatemala,GTM,2000,14.3,11697592
Guatemala,GTM,2005,13.4,13087638
Guatemala,GTM,2010,12.5,14500117
Guatemala,GTM,2015,11.6,15971745
Guatemala,GTM,2018,11.0,16845688
Guatemala,GTM,2019,11.0,17103802
Guatemala,GTM,2020,10.9,17357331
Guinea-Bissau,GNB,2000,18.0,1234746
Guinea-Bissau,GNB,2005,15.0,1381590
Guinea-Bissau,GNB,2010,12.7,1566350
Guinea-Bissau,GNB,2015,10.7,1786461
Guinea-Bissau,GNB,2018,9.3,1922166
Guinea-Bissau,GNB,2019,9.3,1967704
Guinea-Bissau,GNB,2020,9.0,2013259
Guyana,GUY,2000,30.2,764837
Guyana,GUY,2005,24.1,760924
Guyana,GUY,2010,19.1,749258
Guyana,GUY,2015,15.1,758785
Guyana,GUY,2018,12.6,791563
Guyana,GUY,2019,12.6,807667
Guyana,GUY,2020,12.1,807487
Haiti,HTI,2000,12.3,8303151
Haiti,HTI,2005,10.9,9061274
Haiti,HTI,2010,9.7,9803299
Haiti,HTI,2015,8.6,10523249
Haiti,HTI,2018,7.9,10962373
Haiti,HTI,2019,7.9,11105164
Haiti,HTI,2020,7.7,11243847
High-income countries,,2000,33.966145,1096764306
High-income countries,,2005,30.498844,1134613531
High-income countries,,2010,27.464682,1176862152
High-income countries,,2015,24.74223,1216633392
High-income countries,,2018,22.87043,1237400303
High-income countries,,2019,22.858442,1243293724
High-income countries,,2020,22.438213,1246978178
Hungary,HUN,2000,37.4,10190596
Hungary,HUN,2005,35.9,10065704
Hungary,HUN,2010,34.6,9979129
Hungary,HUN,2015,33.2,9839210
Hungary,HUN,2018,32.2,9774395
Hungary,HUN,2019,32.2,9770346
Hungary,HUN,2020,31.8,9749460
Iceland,ISL,2000,30.2,281294
Iceland,ISL,2005,24.0,296851
Iceland,ISL,2010,19.1,318163
Iceland,ISL,2015,15.2,330962
Iceland,ISL,2018,12.6,352861
Iceland,ISL,2019,12.6,360709
Iceland,ISL,2020,12.0,366626
India,IND,2000,54.5,1057922728
India,IND,2005,45.5,1154676319
India,IND,2010,38.1,1243481564
India,IND,2015,32.2,1328024492
India,IND,2018,28.1,1374659068
India,IND,2019,28.1,1389030303
India,IND,2020,27.2,1402617692
Indonesia,IDN,2000,35.4,216077791
Indonesia,IDN,2005,35.8,230871649
Indonesia,IDN,2010,36.3,246305326
Indonesia,IDN,2015,36.7,261799249
Indonesia,IDN,2018,37.2,269951847
Indonesia,IDN,2019,37.2,272489379
Indonesia,IDN,2020,37.6,274814864
Iran,IRN,2000,21.5,66418662
Iran,IRN,2005,19.0,71828456
Iran,IRN,2010,17.0,77420852
Iran,IRN,2015,15.3,82619365
Iran,IRN,2018,14.0,86118000
Iran,IRN,2019,14.0,87051647
Iran,IRN,2020,13.6,87723446
Iraq,IRQ,2000,22.0,24424059
Iraq,IRQ,2005,20.6,28407450
Iraq,IRQ,2010,19.9,31045365
Iraq,IRQ,2015,19.1,37560535
Iraq,IRQ,2018,18.8,40265629
Iraq,IRQ,2019,18.8,41192172
Iraq,IRQ,2020,18.5,42116604
Ireland,IRL,2000,35.6,3802590
Ireland,IRL,2005,31.2,4155282
Ireland,IRL,2010,27.1,4559083
Ireland,IRL,2015,23.8,4702497
Ireland,IRL,2018,21.4,4872557
Ireland,IRL,2019,21.4,4933491
Ireland,IRL,2020,20.8,4982604
Israel,ISR,2000,31.7,6111195
Israel,ISR,2005,28.6,6728208
Israel,ISR,2010,25.9,7336737
Israel,ISR,2015,23.4,8052915
Israel,ISR,2018,21.6,8510068
Israel,ISR,2019,21.6,8657466
Israel,ISR,2020,21.2,8800379
Italy,ITA,2000,26.2,57272200
Italy,ITA,2005,25.3,58519697
Italy,ITA,2010,24.5,60164212
Italy,ITA,2015,23.8,60575314
Italy,ITA,2018,23.3,60277496
Italy,ITA,2019,23.3,60130136
Italy,ITA,2020,23.1,59912763
Jamaica,JAM,2000,17.4,2607828
Jamaica,JAM,2005,14.9,2687069
Jamaica,JAM,2010,12.8,2748573
Jamaica,JAM,2015,11.0,2802535
Jamaica,JAM,2018,9.7,2820103
Jamaica,JAM,2019,9.7,2823275
Jamaica,JAM,2020,9.4,2830746
Japan,JPN,2000,33.3,127027796
Japan,JPN,2005,29.4,127913331
Japan,JPN,2010,25.8,128185273
Japan,JPN,2015,22.7,127275868
Japan,JPN,2018,20.5,126913433
Japan,JPN,2019,20.5,126699422
Japan,JPN,2020,20.1,126304536
Jordan,JOR,2000,30.7,5386944
Jordan,JOR,2005,31.7,6029597
Jordan,JOR,2010,32.6,7297045
Jordan,JOR,2015,33.7,9544730
Jordan,JOR,2018,34.6,10462310
Jordan,JOR,2019,34.6,10671892
Jordan,JOR,2020,34.8,10865231
Kazakhstan,KAZ,2000,34.2,15501107
Kazakhstan,KAZ,2005,30.9,15968118
Kazakhstan,KAZ,2010,28.1,16836809
Kazakhstan,KAZ,2015,25.4,18084173
Kazakhstan,KAZ,2018,23.5,18932725
Kazakhstan,KAZ,2019,23.5,19209556
Kazakhstan,KAZ,2020,23.2,19482117
Kenya,KEN,2000,19.3,30642894
Kenya,KEN,2005,16.8,35796483
Kenya,KEN,2010,14.7,41598570
Kenya,KEN,2015,12.8,47088527
Kenya,KEN,2018,11.5,50207110
Kenya,KEN,2019,11.5,51202829
Kenya,KEN,2020,11.1,52217327
Kiribati,KIR,2000,68.5,88631
Kiribati,KIR,2005,60.4,98046
Kiribati,KIR,2010,52.7,108717
Kiribati,KIR,2015,46.4,116826
Kiribati,KIR,2018,41.7,122097
Kiribati,KIR,2019,41.7,123928
Kiribati,KIR,2020,40.6,126110
Kuwait,KWT,2000,20.0,1954713
Kuwait,KWT,2005,19.5,2236797
Kuwait,KWT,2010,18.9,2943372
Kuwait,KWT,2015,18.3,3834464
Kuwait,KWT,2018,17.9,4323388
Kuwait,KWT,2019,17.9,4442202
Kuwait,KWT,2020,17.9,4400146
Kyrgyzstan,KGZ,2000,31.4,5025151
Kyrgyzstan,KGZ,2005,30.3,5246337
Kyrgyzstan,KGZ,2010,29.4,5491763
Kyrgyzstan,KGZ,2015,28.4,6001876
Kyrgyzstan,KGZ,2018,27.6,6341733
Kyrgyzstan,KGZ,2019,27.6,6494036
Kyrgyzstan,KGZ,2020,25.4,6664142
Laos,LAO,2000,52.5,5431214
Laos,LAO,2005,46.2,5869531
Laos,LAO,2010,40.5,6334198
Laos,LAO,2015,35.8,6801650
Laos,LAO,2018,32.5,7128045
Laos,LAO,2019,32.5,7237634
Laos,LAO,2020,31.8,7346533
Latvia,LVA,2000,43.8,2368321
Latvia,LVA,2005,41.9,2239787
Latvia,LVA,2010,40.1,2097834
Latvia,LVA,2015,38.5,1977874
Latvia,LVA,2018,37.2,1927586
Latvia,LVA,2019,37.2,1914267
Latvia,LVA,2020,37.0,1901119
Lebanon,LBN,2000,40.2,4329344
Lebanon,LBN,2005,39.7,4671106
Lebanon,LBN,2010,39.1,5041290
Lebanon,LBN,2015,38.7,6472470
Lebanon,LBN,2018,38.4,5984120
Lebanon,LBN,2019,38.4,5794600
Lebanon,LBN,2020,38.2,5702401
Lesotho,LSO,2000,31.1,2003918
Lesotho,LSO,2005,28.9,1953080
Lesotho,LSO,2010,27.2,1996257
Lesotho,LSO,2015,25.6,2104613
Lesotho,LSO,2018,24.4,2183612
Lesotho,LSO,2019,24.4,2209414
Lesotho,LSO,2020,24.3,2235727
Liberia,LBR,2000,16.3,2928117
Liberia,LBR,2005,13.6,3301017
Liberia,LBR,2010,11.5,4058897
Liberia,LBR,2015,9.6,4659438
Liberia,LBR,2018,8.4,4944727
Liberia,LBR,2019,8.4,5043720
Liberia,LBR,2020,8.2,5149471
Lithuania,LTU,2000,41.4,3500410
Lithuania,LTU,2005,38.9,3322264
Lithuania,LTU,2010,36.4,3097719
Lithuania,LTU,2015,34.0,2905772
Lithuania,LTU,2018,32.3,2802484
Lithuania,LTU,2019,32.3,2795057
Lithuania,LTU,2020,32.0,2795766
Low-income countries,,2000,21.796463,390079727
Low-income countries,,2005,18.819305,450155671
Low-income countries,,2010,16.304663,520054114
Low-income countries,,2015,14.232297,592175408
Low-income countries,,2018,12.809574,642186193
Low-income countries,,2019,12.795115,660718368
Low-income countries,,2020,12.463944,679560751
Lower-middle-income countries,,2000,43.284454,2271915129
Lower-middle-income countries,,2005,36.88581,2487466881
Lower-middle-income countries,,2010,31.551897,2707862957
Lower-middle-income countries,,2015,27.271875,2931203438
Lower-middle-income countries,,2018,24.276703,3059616816
Lower-middle-income countries,,2019,24.249826,3101052514
Lower-middle-income countries,,2020,23.577711,3141910133
Luxembourg,LUX,2000,31.0,436142
Luxembourg,LUX,2005,28.2,465372
Luxembourg,LUX,2010,25.6,507418
Luxembourg,LUX,2015,23.2,569541
Luxembourg,LUX,2018,21.6,608108
Luxembourg,LUX,2019,21.6,620166
Luxembourg,LUX,2020,21.1,630597
Madagascar,MDG,2000,46.7,16516337
Madagascar,MDG,2005,40.7,19159713
Madagascar,MDG,2010,35.4,22183343
Madagascar,MDG,2015,31.3,25426704
Madagascar,MDG,2018,28.4,27494930
Madagascar,MDG,2019,28.4,28219558
Madagascar,MDG,2020,27.8,28953560
Malawi,MWI,2000,24.1,11315946
Malawi,MWI,2005,19.5,12840034
Malawi,MWI,2010,16.0,14826466
Malawi,MWI,2015,13.1,17085585
Malawi,MWI,2018,11.3,18528087
Malawi,MWI,2019,11.3,19025748
Malawi,MWI,2020,10.8,19533886
Malaysia,MYS,2000,29.5,22967817
Malaysia,MYS,2005,27.5,25836073
Malaysia,MYS,2010,25.6,28655771
Malaysia,MYS,2015,23.9,31232796
Malaysia,MYS,2018,22.8,32910962
Malaysia,MYS,2019,22.8,33440588
Malaysia,MYS,2020,22.5,33889555
Maldives,MDV,2000,38.3,282025
Maldives,MDV,2005,34.1,306431
Maldives,MDV,2010,30.6,360801
Maldives,MDV,2015,27.6,428165
Maldives,MDV,2018,25.9,473107
Maldives,MDV,2019,25.9,487737
Maldives,MDV,2020,25.2,502127
Mali,MLI,2000,16.3,11559291
Mali,MLI,2005,13.8,13538647
Mali,MLI,2010,11.6,15945201
Mali,MLI,2015,9.9,18593022
Mali,MLI,2018,8.6,20442029
Mali,MLI,2019,8.6,21068406
Mali,MLI,2020,8.3,21713839
Malta,MLT,2000,34.3,399905
Malta,MLT,2005,31.4,413323
Malta,MLT,2010,28.6,422652
Malta,MLT,2015,26.3,444979
Malta,MLT,2018,24.5,484559
Malta,MLT,2019,24.5,504017
Malta,MLT,2020,24.0,518213
Marshall Islands,MHL,2000,28.5,50721
Marshall Islands,MHL,2005,28.4,51928
Marshall Islands,MHL,2010,28.4,52065
