Entity,Code,Year,"Daily smoking prevalence - both (IHME, GHDx (2012))",Population
Paraguay,PRY,1997,15.2,4794417
Peru,PER,1997,10.3,25274149
Philippines,PHL,1997,28.4,73908814
Poland,POL,1997,32.200001,38348307
Portugal,PRT,1997,20.0,10110548
Qatar,QAT,1997,16.0,550511
Romania,ROU,1997,28.5,22411509
Russia,RUS,1997,32.200001,147853772
Rwanda,RWA,1997,13.7,7755237
Saint Lucia,LCA,1997,10.2,152584
Saint Vincent and the Grenadines,VCT,1997,9.3000002,113158
Samoa,WSM,1997,27.9,177562
Sao Tome and Principe,STP,1997,3.2,138934
Saudi Arabia,SAU,1997,12.7,14374948
Senegal,SEN,1997,10.2,9283503
Serbia,SRB,1997,29.200001,7789183
Seychelles,SYC,1997,15.9,79670
Sierra Leone,SLE,1997,17.299999,4253710
Singapore,SGP,1997,14.7,3796630
Slovakia,SVK,1997,24.4,5369781
Slovenia,SVN,1997,24.299999,1984399
Solomon Islands,SLB,1997,28.4,407480
Somalia,SOM,1997,10.7,7824531
South Africa,ZAF,1997,22.0,45666836
South Korea,KOR,1997,32.099998,45941541
Spain,ESP,1997,31.299999,40423823
Sri Lanka,LKA,1997,12.5,18248204
Sudan,SDN,1997,5.6999998,25799826
Suriname,SUR,1997,6.5,448068
Sweden,SWE,1997,20.700001,8845524
Switzerland,CHE,1997,30.700001,7089163
Syria,SYR,1997,16.5,15417539
Taiwan,TWN,1997,23.1,21885333
Tajikistan,TJK,1997,17.700001,6139830
Tanzania,TZA,1997,11.4,31578094
Thailand,THA,1997,24.299999,60724589
Togo,TGO,1997,6.0999999,4725037
Tonga,TON,1997,31.200001,100691
Trinidad and Tobago,TTO,1997,18.200001,1305837
Tunisia,TUN,1997,22.799999,9421273
Turkey,TUR,1997,28.700001,62852969
Turkmenistan,TKM,1997,22.0,4336733
Uganda,UGA,1997,12.7,21856044
Ukraine,UKR,1997,29.799999,50786882
United Arab Emirates,ARE,1997,18.200001,2817411
United Kingdom,GBR,1997,28.1,58447090
United States,USA,1997,20.700001,273468014
Uruguay,URY,1997,28.799999,3223350
Uzbekistan,UZB,1997,11.2,23758960
Vanuatu,VUT,1997,21.1,174639
Venezuela,VEN,1997,18.299999,23131691
Vietnam,VNM,1997,28.1,74226890
Yemen,YEM,1997,19.6,17873943
Zambia,ZMB,1997,11.4,9237064
Zimbabwe,ZWE,1997,11.2,11369833
